dvd,nr,year,title,original
1-1 ,1,1976,Geknoei ,Kuťáci
1-2 ,2,1979,Behangen ,Tapety 
1-3 ,3,1979,Boekenkast ,Dielňa
1-4 ,4,1979,Tapijt ,Koberec
1-5 ,5,1979,Schommelstoel ,Hojdacie kreslo
1-6 ,6,1979,Schilderij ,Obraz
1-7 ,7,1979,Garage ,Garáž
1-8 ,8,1979,Schaken ,Svetlo
1-9 ,9,1981,Platenspeler ,Gramofón
1-10 ,10,1981,Kippetje grillen ,Grill
1-11 ,11,1982,Verhuizing ,Sťahovanie
2-1 ,12,1982,Water ,Voda
2-3 ,13,1982,Tuinkabouter ,Záhradka
2-4 ,14,1982,Schilderklus ,Maľovanie
2-2 ,15,1982,Vliegen ,Skokani
2-5 ,16,1982,Strijkbout ,Krížovka
2-7 ,17,1983,Vogelhuisje ,Búdka
2-8 ,18,1983,Wasdag ,Veľké pránie
2-6 ,19,1983,Gym ,Telocvičňa
2-9 ,20,1983,Picknick ,Raňajky v tráve
2-10 ,21,1983,Wasmachine ,Práčka
2-11 ,22,1983,Regen ,Déšť
2-12 ,23,1984,Kamperen ,Výlet
3-1 ,24,1984,Wijn maken ,Vinári
3-2 ,25,1984,Schaatsen ,Korčule
3-3 ,26,1984,Piano ,Klavír
3-4 ,27,1985,Servies ,Hrnčiari
3-5 ,28,1985,Televisie sport ,Porucha
3-6 ,29,1985,Appel ,Jablko
